"","X","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
"70",12,0.001,8,0,0.8,3,0.5,5000,0.414906750998756,0.483592656312752,0.278515363182521,0.00985185001100478,0.0168350886177573,0.00372564079816254
"71",15,0.001,8,0,0.8,3,0.75,5000,0.414561222529387,0.484306751566407,0.278040195904245,0.00985250773247549,0.0168696679321261,0.00371728571078688
"72",18,0.001,8,0,0.8,3,1,5000,0.414691467273148,0.483837298670296,0.278062375288738,0.00988389545587089,0.0169146397983553,0.00374347868431419
"73",1,0.01,8,0,0.6,3,0.5,500,0.414645120781951,0.483366812192891,0.277861883225329,0.010682915510309,0.0161371547264618,0.00411010623585359
"74",4,0.01,8,0,0.6,3,0.75,500,0.414086637116914,0.48462117530389,0.277218058035154,0.0107115080646054,0.0161934203880583,0.00411469429070714
"75",7,0.01,8,0,0.6,3,1,500,0.413975361508782,0.484761127052686,0.276932641951105,0.0107337915512797,0.0162315976190813,0.00413656300268212
"76",10,0.01,8,0,0.8,3,0.5,500,0.414618386767768,0.483331592974484,0.277766327102651,0.0106638660136341,0.0161245602030642,0.00407482881708704
"77",13,0.01,8,0,0.8,3,0.75,500,0.414185935020465,0.484281994618381,0.277228331737833,0.0106651514523441,0.0160731441243327,0.00409057951514557
"78",16,0.01,8,0,0.8,3,1,500,0.414268313151319,0.48393814558561,0.277232782578114,0.0107016640337318,0.0162465560024483,0.00412381335093738
"79",2,0.01,8,0,0.6,3,0.5,1000,0.404694850229886,0.487199255010784,0.249077990145399,0.0116029433196248,0.0160717041266414,0.00423844798208043
"80",5,0.01,8,0,0.6,3,0.75,1000,0.404368545654837,0.488025249466563,0.24871354938954,0.0115890081410577,0.0159951442340305,0.00425043165856793
"81",8,0.01,8,0,0.6,3,1,1000,0.404638729885554,0.487341203355668,0.24892974162595,0.0116352128991805,0.0161080752435217,0.00427735451764052
"82",11,0.01,8,0,0.8,3,0.5,1000,0.404929622950805,0.486600252014276,0.249283972554691,0.0115618143661261,0.0160206640764914,0.00419531098588549
"83",14,0.01,8,0,0.8,3,0.75,1000,0.404716558032089,0.487139390017227,0.248984794251798,0.0115602665387191,0.0159652140846002,0.00422736301894436
"84",17,0.01,8,0,0.8,3,1,1000,0.405076282187738,0.486226785300323,0.249260929638842,0.0116149499020256,0.0161759325754319,0.00424483778906823
"85",3,0.01,8,0,0.6,3,0.5,1500,0.405005591470555,0.486437086019262,0.249201859806657,0.0115656074192837,0.0160167761005371,0.00421135035793736
"86",6,0.01,8,0,0.6,3,0.75,1500,0.404669624578945,0.487281628112816,0.248865199857629,0.0115430135671265,0.0159100619181753,0.00424822231586131
"87",9,0.01,8,0,0.6,3,1,1500,0.40492137212494,0.486630175118112,0.249043748612938,0.0115970963430114,0.0160268184272021,0.00428207750605332
"88",12,0.01,8,0,0.8,3,0.5,1500,0.405514277426747,0.485176762670674,0.249655234813276,0.0114853646641467,0.0158578270451767,0.00416913301903131
"89",15,0.01,8,0,0.8,3,0.75,1500,0.405256967727827,0.485822062225812,0.249369657024767,0.0115056164860229,0.0158962490361751,0.00421551753160243
"90",18,0.01,8,0,0.8,3,1,1500,0.405413561496184,0.485396406104141,0.24942321648063,0.0115832475568962,0.0161599792528298,0.00424234508603234
